,,Day 1 (Mon),,,,,Day 2 (Fri),,,,,,,
March,,,,,,,,,,,,,,
,WORKING SETS: AUXILIARY,,,,,WORKING SETS: AUXILIARY,,,,,,,,
Additional,DB Hammer Curl,3,10,20,,,,,,,,,,
Mobility,Walking,3,2m,5 Inc/3.8 Spd,,,,,,,,,,
Olympic Lifts,,,,,,,,,,,,,,
Stability,,,,,,,,,,,,,,
Sets,CARDIO,,,,,N/A,,,,,,,,
Reps,,,,,,High Plank Shoulder Taps,3,60s,15lbs,60s,,,,
Tempos,,,,,,Sumo Deadlift,3,8,20lbs,15 / 26lbs,,,,
Weight,,,,,,DB Alt Shoulder Press,3,15,4kg,,,,,
%,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
June,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Primary/Horizontal,Date,,Session Length,Completed,,Date: ,,Session Length,Completed,,,,,
Goblet Squat to Box,6/3/2026,,60min,,,6/5/2026,,60min,,,,,,
Hinge,,SETS,REPS,LOAD,,MOVEMENT,SETS,REPS,LOAD,,,,,
Curtsy Lunges,WARM UP,,,,,WARM UP,,,,,,,,
Push Horizontal,FR - T Spine,1,60s,na,,FR - T Spine,1,60s,na,,,,,
Pull Horizontal,Cat/Cow,1,10,na,,90/90,1,10,na,,,,,
OH Carry,90/90,1,10,na,,Half Kneeling - Rot.,1,10,na,,,,,
Tricep Pushdown,Half Kneeling - Rot.,1,10,na,,,,,,,,,,
,WORKING SETS: STRENGTH,,,,,WORKING SETS: STRENGTH,,,,,,,,
,SA FR Squat,3,10,25lbax2,,DB Alt Shoulder Press,3,8ea,12.5lbs,,,,,
Supplement/Vertical,-DB/KB,,,,,Hex Bar Squat,3,8-10,95,,,,,
Squat Sup,Pull Vertical,3,10,30lbs,,Airplane Hinges,3,8-9ea,,,,,,
Hinge Sup,,,,,,,,,,,,,,
Lunge Sup,WORKING SETS: STRENGTH ,,,,,WORKING SETS: STRENGTH ,,,,,,,,
Push Vertical,Reverse Lunge - Ips,3,8ea,24kg,,Curtsy Lunges,2,10ea,20lbs,,,,,
Pull Vertical,Landmine Rows,3,10,30lbs,,,,,,,,,,
Planks,,,,,,Landmine Rows,2,8ea,15lbs,,,,,
Cardio,,,,,,,,,,,,,,
,WORKING SETS: AUXILIARY,,,,,WORKING SETS: AUXILIARY,,,,,,,,
Additional,Hip Thrust,3,8,165,,High Plank Shoulder Taps,3,30s,,,,,,
Mobility,Banded Curl,3,10,20,,Sit Ups,3,15,,,,,,
Olympic Lifts,,,,,,,,,,,,,,
Stability,,,,,,,,,,,,,,
Sets,CARDIO,,,,, ,,,,,,,,
Reps,,,,,,,,,,,,,,
Tempos,,,,,,,,,,,,,,
Weight,,,,,,,,,,,,,,
%,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Date: ,,Session Length,Completed,,,,,,,,,,
,6/10/2026,,60min,,,,,,,,,,,
,MOVEMENT,SETS,REPS,LOAD,,,,,,,,,,
,WARM UP,,,,,,,,,,,,,
,FR - T Spine,1,60s,na,,,,,,,,,,
,90/90,1,10,na,,,,,,,,,,
,Half Kneeling - Rot.,1,10,na,,,,,,,,,,
,,,,,,,,,,,,,,
,WORKING SETS: STRENGTH,,,,,,,,,,,,,
,DB Alt Shoulder Press,3,8ea,12.5lbs,,,,,,,,,,
,Hex Bar Squat,3,8-10,95,,,,,,,,,,
,Airplane Hinges,3,8-9ea,,,,,,,,,,,
,,,,,,,,,,,,,,
,WORKING SETS: STRENGTH ,,,,,,,,,,,,,
,Curtsy Lunges,2,10ea,20lbs,,,,,,,,,,
,,,,,,,,,,,,,,
,Landmine Rows,2,8ea,15lbs,,,,,,,,,,
,,,,,,,,,,,,,,
,WORKING SETS: AUXILIARY,,,,,,,,,,,,,
,High Plank Shoulder Taps,3,30s,,,,,,,,,,,
,Sit Ups,3,15,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
, ,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Primary/Horizontal,Date: ,,Session Length,Completed,,,,,,,,,,
Goblet Squat to Box,6/12/2026,,60min,,,,,,,,,,,
Hinge,MOVEMENT,SETS,REPS,LOAD,,,,,,,,,,
Curtsy Lunges,WARM UP,,,,,,,,,,,,,
Push Horizontal,FR - T Spine,1,60s,na,,,,,,,,,,
Pull Horizontal,90/90,1,10,na,,,,,,,,,,
OH Carry,Half Kneeling - Rot.,1,10,na,,,,,,,,,,
Tricep Pushdown,,,,,,,,,,,,,,
,WORKING SETS: STRENGTH,,,,,,,,,,,,,
,DB Alt Shoulder Press,3,10,15lbs,,,,,,,,,,
Supplement/Vertical,Hex Bar Squat,3,8-10,115,,,,,,,,,,
Squat Sup,Airplane Hinges,3,4ea,,,,,,,,,,,
Hinge Sup,,,,,,,,,,,,,,
Lunge Sup,WORKING SETS: STRENGTH ,,,,,,,,,,,,,
Push Vertical,Calf Raises - SL,2,10ea,15lbs,,,,,,,,,,
Pull Vertical,High Plank - Leg Lift,2,10ea,bw,,,,,,,,,,
Planks,Frog Pose + Reach,2,2 mins,,,,,,,,,,,
Cardio,,,,,,,,,,,,,,
,WORKING SETS: AUXILIARY,,,,,,,,,,,,,
Additional,,,,,,,,,,,,,,
Mobility,,,,,,,,,,,,,,
Olympic Lifts,,,,,,,,,,,,,,
Stability,,,,,,,,,,,,,,
Sets, ,,,,,,,,,,,,,
Reps,,,,,,,,,,,,,,
Tempos,,,,,,,,,,,,,,
Weight,,,,,,,,,,,,,,
%,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Date,,Session Length,Completed,,Date: ,,Session Length,Completed,,,,,
,6/18/2026,,60min,,,6/22/2026,,60min,,,,,,
,,SETS,REPS,LOAD,,MOVEMENT,SETS,REPS,LOAD,,,,,
,WARM UP,,,,,WARM UP,,,,,,,,
,FR - T Spine,1,60s,na,,FR - T Spine,1,60s,na,,,,,
,Cat/Cow,1,10,na,,90/90,1,10,na,,,,,
,90/90,1,10,na,,Half Kneeling - Rot.,1,10,na,,,,,
,Half Kneeling - Rot.,1,10,na,,,,,,,,,,
,WORKING SETS: STRENGTH,,,,,WORKING SETS: STRENGTH,,,,,,,,
,Back Squat,3,10,25lbs,,Military Press,3,10,15lbs,,,,,
,Jump Rope,,,,,SS RDLs,3,10ea,115,,,,,
,High Angle Cable Rows,3,10,30lbs,,Strecth - Hip Opener,3,1 min,,,,,,
,-SA,,,,,Front Squat,3,8-10,30lbs,,,,,
,WORKING SETS: STRENGTH ,,,,,DB Curl,3,10-12,10lbs,,,,,
,Contra Split Squat,3,9ea,14.5lbs,,Reverse Sit Ups,3,10,bw,,,,,
,Lat Pull Down,3,10,50lbs,,WORKING SETS: STRENGTH ,,,,,,,,
,- Close Grip,,,,,Leg Curl Machine,2,10-12ea,55lbs,,,,,
,,,,,,-SL,,,,,,,,
,WORKING SETS: AUXILIARY,,,,,,,,,,,,,
,Hip Thrust,3,8,165,,,,,,,,,,
,Banded Curl,3,10,20,,WORKING SETS: AUXILIARY,,,,,,,,
,Leg Extensions,3,15,55lbs,,,,,,,,,,
,,,,,,,,,,,,,,
,CARDIO,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Date,,Session Length,To-Do,,,,,,,,,,
,6/26/2026,,60min,,,,,,,,,,,
,,SETS,REPS,LOAD,,,,,,,,,,
,WARM UP,,,,,,,,,,,,,
,FR - T Spine,1,60s,na,,,,,,,,,,
,Cat/Cow,1,10,na,,,,,,,,,,
,90/90,1,10,na,,,,,,,,,,
,Half Kneeling - Rot.,1,10,na,,,,,,,,,,
,WORKING SETS: STRENGTH,,,,,,,,,,,,,
,Reverse Lunge,1,8ea,30lbs,,,,,,,,,,
,- BB,1,8ea,40lbs,,,,,,,,,,
,,1,8ea,50lbs,,,,,,,,,,
,,1,8ea,55lbs,,,,,,,,,,
,WORKING SETS: STRENGTH ,,,,,,,,,,,,,
,Bent Over BB Row,3,14,17.5lbs,,,,,,,,,,
,Lateral Lunge,3,10ea,25lbs,,,,,,,,,,
,Supermans,3,10,BW,,,,,,,,,,
,,,,,,,,,,,,,,
,WORKING SETS: AUXILIARY,,,,,,,,,,,,,
,DB Hammer Curl,3,10,20,,,,,,,,,,
,Walking,3,2m,5 Inc/3.8 Spd,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,CARDIO,,,,,,,,,,,,,
